"module name","license","repository"
"@atlaskit/analytics-next-types@4.0.1","Apache-2.0","git+https://bitbucket.org/atlassian/atlaskit-mk-2"
"@atlaskit/analytics-next@4.0.5","Apache-2.0","git+https://bitbucket.org/atlassian/atlaskit-mk-2"
"@atlaskit/blanket@8.0.3","Apache-2.0","git+https://bitbucket.org/atlassian/atlaskit-mk-2"
"@atlaskit/button@11.0.11","Apache-2.0","git+https://bitbucket.org/atlassian/atlaskit-mk-2"
"@atlaskit/form@5.2.10","Apache-2.0","git+https://bitbucket.org/atlaskit/atlaskit-mk-2"
"@atlaskit/icon@16.0.9","Custom: https://atlaskit.atlassian.com/packages/core/icon","git+https://bitbucket.org/atlassian/atlaskit-mk-2"
"@atlaskit/modal-dialog@8.0.4","Apache-2.0","git+https://bitbucket.org/atlassian/atlaskit-mk-2"
"@atlaskit/portal@0.3.1","Apache-2.0","git+https://bitbucket.org/atlassian/atlaskit-mk-2"
"@atlaskit/spinner@10.0.4","Apache-2.0","git+https://bitbucket.org/atlassian/atlaskit-mk-2"
"@atlaskit/textfield@0.4.5","Apache-2.0","git+https://bitbucket.org/atlassian/atlaskit-mk-2"
"@atlaskit/theme@8.1.9","Apache-2.0","git+https://bitbucket.org/atlassian/atlaskit-mk-2"
"@atlaskit/type-helpers@3.0.2","Apache-2.0","git+https://bitbucket.org/atlassian/atlaskit-mk-2"
"@babel/code-frame@7.15.8","MIT","https://github.com/babel/babel"
"@babel/helper-annotate-as-pure@7.15.4","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.15.4","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.15.7","MIT","https://github.com/babel/babel"
"@babel/highlight@7.14.5","MIT","https://github.com/babel/babel"
"@babel/polyfill@7.7.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-polyfill"
"@babel/runtime@7.7.7","MIT","https://github.com/babel/babel"
"@babel/types@7.15.6","MIT","https://github.com/babel/babel"
"@date-io/core@1.3.13","MIT","https://github.com/dmtrKovalenko/date-io"
"@date-io/luxon@1.3.13","MIT","https://github.com/dmtrKovalenko/date-io"
"@emotion/cache@10.0.29","MIT","https://github.com/emotion-js/emotion/tree/master/packages/cache"
"@emotion/core@10.1.1","MIT","https://github.com/emotion-js/emotion/tree/master/packages/core"
"@emotion/css@10.0.27","MIT","https://github.com/emotion-js/emotion/tree/master/packages/css"
"@emotion/hash@0.8.0","MIT","https://github.com/emotion-js/emotion/tree/master/packages/hash"
"@emotion/is-prop-valid@0.7.3","MIT","https://github.com/emotion-js/emotion/tree/master/packages/is-prop-valid"
"@emotion/memoize@0.7.4","MIT","https://github.com/emotion-js/emotion/tree/master/packages/memoize"
"@emotion/serialize@0.11.16","MIT","https://github.com/emotion-js/emotion/tree/master/packages/serialize"
"@emotion/sheet@0.9.4","MIT","https://github.com/emotion-js/emotion/tree/master/packages/sheet"
"@emotion/stylis@0.8.5","MIT","https://github.com/emotion-js/emotion/tree/master/packages/stylis"
"@emotion/unitless@0.7.5","MIT","https://github.com/emotion-js/emotion/tree/master/packages/unitless"
"@emotion/utils@0.11.3","MIT","https://github.com/emotion-js/emotion/tree/master/packages/serialize"
"@emotion/weak-memoize@0.2.5","MIT","https://github.com/emotion-js/emotion/tree/master/packages/weak-memoize"
"@fortawesome/fontawesome-common-types@0.2.36","MIT","https://github.com/FortAwesome/Font-Awesome"
"@fortawesome/fontawesome-svg-core@1.2.36","MIT","https://github.com/FortAwesome/Font-Awesome"
"@fortawesome/pro-duotone-svg-icons@5.13.1",,"https://github.com/FortAwesome/Font-Awesome"
"@fortawesome/pro-light-svg-icons@5.7.2",,"https://github.com/FortAwesome/Font-Awesome"
"@fortawesome/pro-regular-svg-icons@5.7.2",,"https://github.com/FortAwesome/Font-Awesome"
"@fortawesome/pro-solid-svg-icons@5.7.2",,"https://github.com/FortAwesome/Font-Awesome"
"@fortawesome/react-fontawesome@0.1.15","MIT","https://github.com/FortAwesome/react-fontawesome"
"@mapbox/extent@0.4.0","ISC","https://github.com/mapbox/extent"
"@mapbox/fusspot@0.4.0","UNKNOWN","https://github.com/mapbox/fusspot"
"@mapbox/geojson-area@0.2.2","BSD-2-Clause","https://github.com/mapbox/geojson-area"
"@mapbox/geojson-coords@0.0.0","ISC","https://github.com/mapbox/geojson-coords"
"@mapbox/geojson-extent@0.3.2","ISC","https://github.com/mapbox/geojson-extent"
"@mapbox/geojson-normalize@0.0.1","ISC","https://github.com/mapbox/geojson-normalize"
"@mapbox/geojson-rewind@0.5.1","ISC","https://github.com/mapbox/geojson-rewind"
"@mapbox/geojson-types@1.0.2","ISC",""
"@mapbox/geojsonhint@3.0.0","ISC","https://github.com/mapbox/geojsonhint"
