"module name","license","repository"
"@babel/code-frame@7.14.5","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.14.7","MIT","https://github.com/babel/babel"
"@babel/core@7.14.6","MIT","https://github.com/babel/babel"
"@babel/generator@7.14.5","MIT","https://github.com/babel/babel"
"@babel/helper-annotate-as-pure@7.14.5","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.14.5","MIT","https://github.com/babel/babel"
"@babel/helper-function-name@7.14.5","MIT","https://github.com/babel/babel"
"@babel/helper-get-function-arity@7.14.5","MIT","https://github.com/babel/babel"
"@babel/helper-hoist-variables@7.14.5","MIT","https://github.com/babel/babel"
"@babel/helper-member-expression-to-functions@7.14.7","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.14.5","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.14.5","MIT","https://github.com/babel/babel"
"@babel/helper-optimise-call-expression@7.14.5","MIT","https://github.com/babel/babel"
"@babel/helper-replace-supers@7.14.5","MIT","https://github.com/babel/babel"
"@babel/helper-simple-access@7.14.5","MIT","https://github.com/babel/babel"
"@babel/helper-split-export-declaration@7.14.5","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.14.5","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.14.5","MIT","https://github.com/babel/babel"
"@babel/helpers@7.14.6","MIT","https://github.com/babel/babel"
"@babel/highlight@7.14.5","MIT","https://github.com/babel/babel"
"@babel/parser@7.14.7","MIT","https://github.com/babel/babel"
"@babel/runtime-corejs3@7.14.7","MIT","https://github.com/babel/babel"
"@babel/runtime@7.14.0","MIT","https://github.com/babel/babel"
"@babel/template@7.14.5","MIT","https://github.com/babel/babel"
"@babel/traverse@7.14.7","MIT","https://github.com/babel/babel"
"@babel/types@7.14.5","MIT","https://github.com/babel/babel"
"@date-io/core@1.3.13","MIT","https://github.com/dmtrKovalenko/date-io"
"@date-io/luxon@1.3.13","MIT","https://github.com/dmtrKovalenko/date-io"
"@emotion/cache@11.4.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/cache"
"@emotion/hash@0.8.0","MIT","https://github.com/emotion-js/emotion/tree/master/packages/hash"
"@emotion/is-prop-valid@0.8.8","MIT","https://github.com/emotion-js/emotion/tree/master/packages/is-prop-valid"
"@emotion/memoize@0.7.5","MIT","https://github.com/emotion-js/emotion/tree/master/packages/memoize"
"@emotion/react@11.4.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/react"
"@emotion/serialize@1.0.2","MIT","https://github.com/emotion-js/emotion/tree/main/packages/serialize"
"@emotion/sheet@1.0.1","MIT","https://github.com/emotion-js/emotion/tree/master/packages/sheet"
"@emotion/stylis@0.8.5","MIT","https://github.com/emotion-js/emotion/tree/master/packages/stylis"
"@emotion/unitless@0.7.5","MIT","https://github.com/emotion-js/emotion/tree/master/packages/unitless"
"@emotion/utils@1.0.0","MIT","https://github.com/emotion-js/emotion/tree/master/packages/utils"
"@emotion/weak-memoize@0.2.5","MIT","https://github.com/emotion-js/emotion/tree/master/packages/weak-memoize"
"@fortawesome/fontawesome-common-types@0.2.35","MIT","https://github.com/FortAwesome/Font-Awesome"
"@fortawesome/fontawesome-svg-core@1.2.35","MIT","https://github.com/FortAwesome/Font-Awesome"
"@fortawesome/free-solid-svg-icons@5.15.3","(CC-BY-4.0 AND MIT)","https://github.com/FortAwesome/Font-Awesome"
"@fortawesome/pro-duotone-svg-icons@5.15.3",,"https://github.com/FortAwesome/Font-Awesome"
"@fortawesome/pro-light-svg-icons@5.15.3",,"https://github.com/FortAwesome/Font-Awesome"
"@fortawesome/pro-regular-svg-icons@5.15.3",,"https://github.com/FortAwesome/Font-Awesome"
"@fortawesome/pro-solid-svg-icons@5.15.3",,"https://github.com/FortAwesome/Font-Awesome"
"@fortawesome/react-fontawesome@0.1.14","MIT","https://github.com/FortAwesome/react-fontawesome"
"@mapbox/geojson-rewind@0.5.1","ISC","https://github.com/mapbox/geojson-rewind"
"@mapbox/geojson-types@1.0.2","ISC",""
"@mapbox/jsonlint-lines-primitives@2.0.2","Custom: https://github.com/tmcw/jsonlint","https://github.com/mapbox/jsonlint"
"@mapbox/mapbox-gl-supported@1.5.0","BSD-3-Clause","https://github.com/mapbox/mapbox-gl-supported"
"@mapbox/point-geometry@0.1.0","ISC","https://github.com/mapbox/point-geometry"
"@mapbox/tiny-sdf@1.2.5","BSD-2-Clause","https://github.com/mapbox/tiny-sdf"
"@mapbox/unitbezier@0.0.0","BSD-2-Clause","https://github.com/mapbox/unitbezier"
"@mapbox/vector-tile@1.3.1","BSD-3-Clause","https://github.com/mapbox/vector-tile-js"
"@mapbox/whoots-js@3.1.0","ISC","https://github.com/mapbox/whoots-js"
"@material-ui/core@4.11.4","MIT","https://github.com/mui-org/material-ui"
"@material-ui/lab@4.0.0-alpha.58","MIT","https://github.com/mui-org/material-ui"
"@material-ui/pickers@3.3.10","MIT","https://github.com/mui-org/material-ui-pickers"
"@material-ui/styles@4.11.4","MIT","https://github.com/mui-org/material-ui"
"@material-ui/system@4.11.3","MIT","https://github.com/mui-org/material-ui"
"@material-ui/types@5.1.0","MIT","https://github.com/mui-org/material-ui"
"@material-ui/utils@4.11.2","MIT","https://github.com/mui-org/material-ui"
"@openlattice/lattice-community-restorative-court@0.10.0","Apache-2.0","https://github.com/openlattice/lattice-community-restorative-court"
"@openlattice/lattice-helpline-center@0.3.0","Apache-2.0","https://github.com/openlattice/lattice-helpline-center"
"@redux-saga/core@1.1.3","MIT","https://github.com/redux-saga/redux-saga/tree/master/packages/core"
"@redux-saga/deferred@1.1.2","MIT","https://github.com/redux-saga/redux-saga/tree/master/packages/deferred"
"@redux-saga/delay-p@1.1.2","MIT","https://github.com/redux-saga/redux-saga/tree/master/packages/delay-p"
"@redux-saga/is@1.1.2","MIT","https://github.com/redux-saga/redux-saga/tree/master/packages/is"
"@redux-saga/symbols@1.1.2","MIT","https://github.com/redux-saga/redux-saga/tree/master/packages/symbols"
"@redux-saga/types@1.1.0","MIT","https://github.com/redux-saga/redux-saga/tree/master/packages/types"
"@rjsf/core@3.0.0","Apache-2.0","https://github.com/rjsf-team/react-jsonschema-form"
"@turf/bbox@4.7.3","MIT","https://github.com/Turfjs/turf"
"@turf/helpers@4.7.3","MIT","https://github.com/Turfjs/turf"
"@turf/meta@4.7.4","MIT","https://github.com/Turfjs/turf"
"@types/d3-color@2.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-interpolate@2.0.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-path@1.0.9","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-scale@3.3.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-shape@2.1.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-time@2.1.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/geojson@7946.0.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/hast@2.3.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/hoist-non-react-statics@3.3.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/json-schema@7.0.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/mdast@3.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/prop-types@15.7.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-redux@7.1.16","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-transition-group@4.4.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react@17.0.9","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/resize-observer-browser@0.1.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
