"module name","license","repository"
"@babel/code-frame@7.14.5","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.15.0","MIT","https://github.com/babel/babel"
"@babel/core@7.13.16","MIT","https://github.com/babel/babel"
"@babel/generator@7.15.4","MIT","https://github.com/babel/babel"
"@babel/helper-annotate-as-pure@7.15.4","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.15.4","MIT","https://github.com/babel/babel"
"@babel/helper-function-name@7.15.4","MIT","https://github.com/babel/babel"
"@babel/helper-get-function-arity@7.15.4","MIT","https://github.com/babel/babel"
"@babel/helper-hoist-variables@7.15.4","MIT","https://github.com/babel/babel"
"@babel/helper-member-expression-to-functions@7.15.4","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.15.4","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.15.7","MIT","https://github.com/babel/babel"
"@babel/helper-optimise-call-expression@7.15.4","MIT","https://github.com/babel/babel"
"@babel/helper-replace-supers@7.15.4","MIT","https://github.com/babel/babel"
"@babel/helper-simple-access@7.15.4","MIT","https://github.com/babel/babel"
"@babel/helper-split-export-declaration@7.15.4","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.15.7","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.14.5","MIT","https://github.com/babel/babel"
"@babel/helpers@7.15.4","MIT","https://github.com/babel/babel"
"@babel/highlight@7.14.5","MIT","https://github.com/babel/babel"
"@babel/parser@7.15.7","MIT","https://github.com/babel/babel"
"@babel/polyfill@7.12.1","MIT","https://github.com/babel/babel"
"@babel/runtime@7.13.17","MIT","https://github.com/babel/babel"
"@babel/template@7.15.4","MIT","https://github.com/babel/babel"
"@babel/traverse@7.15.4","MIT","https://github.com/babel/babel"
"@babel/types@7.15.6","MIT","https://github.com/babel/babel"
"@emotion/cache@11.4.0","MIT","https://github.com/emotion-js/emotion/tree/main/packages/cache"
"@emotion/hash@0.8.0","MIT","https://github.com/emotion-js/emotion/tree/master/packages/hash"
"@emotion/is-prop-valid@0.8.8","MIT","https://github.com/emotion-js/emotion/tree/master/packages/is-prop-valid"
"@emotion/memoize@0.7.5","MIT","https://github.com/emotion-js/emotion/tree/master/packages/memoize"
"@emotion/react@11.4.1","MIT","https://github.com/emotion-js/emotion/tree/main/packages/react"
"@emotion/serialize@1.0.2","MIT","https://github.com/emotion-js/emotion/tree/main/packages/serialize"
"@emotion/sheet@1.0.2","MIT","https://github.com/emotion-js/emotion/tree/main/packages/sheet"
"@emotion/stylis@0.8.5","MIT","https://github.com/emotion-js/emotion/tree/master/packages/stylis"
"@emotion/unitless@0.7.5","MIT","https://github.com/emotion-js/emotion/tree/master/packages/unitless"
"@emotion/utils@1.0.0","MIT","https://github.com/emotion-js/emotion/tree/master/packages/utils"
"@emotion/weak-memoize@0.2.5","MIT","https://github.com/emotion-js/emotion/tree/master/packages/weak-memoize"
"@fortawesome/fontawesome-common-types@0.2.36","MIT","https://github.com/FortAwesome/Font-Awesome"
"@fortawesome/fontawesome-svg-core@1.2.36","MIT","https://github.com/FortAwesome/Font-Awesome"
"@fortawesome/pro-light-svg-icons@5.13.1",,"https://github.com/FortAwesome/Font-Awesome"
"@fortawesome/pro-regular-svg-icons@5.13.1",,"https://github.com/FortAwesome/Font-Awesome"
"@fortawesome/pro-solid-svg-icons@5.13.1",,"https://github.com/FortAwesome/Font-Awesome"
"@fortawesome/react-fontawesome@0.1.15","MIT","https://github.com/FortAwesome/react-fontawesome"
"@redux-saga/core@1.1.3","MIT","https://github.com/redux-saga/redux-saga/tree/master/packages/core"
"@redux-saga/deferred@1.1.2","MIT","https://github.com/redux-saga/redux-saga/tree/master/packages/deferred"
"@redux-saga/delay-p@1.1.2","MIT","https://github.com/redux-saga/redux-saga/tree/master/packages/delay-p"
"@redux-saga/is@1.1.2","MIT","https://github.com/redux-saga/redux-saga/tree/master/packages/is"
"@redux-saga/symbols@1.1.2","MIT","https://github.com/redux-saga/redux-saga/tree/master/packages/symbols"
"@redux-saga/types@1.1.0","MIT","https://github.com/redux-saga/redux-saga/tree/master/packages/types"
