"module name","license","repository"
"@babel/code-frame@7.16.7","MIT","https://github.com/babel/babel"
"@babel/generator@7.16.8","MIT","https://github.com/babel/babel"
"@babel/helper-annotate-as-pure@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-environment-visitor@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-function-name@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-get-function-arity@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-hoist-variables@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-split-export-declaration@7.16.7","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.16.7","MIT","https://github.com/babel/babel"
"@babel/highlight@7.16.7","MIT","https://github.com/babel/babel"
"@babel/parser@7.16.8","MIT","https://github.com/babel/babel"
"@babel/runtime-corejs3@7.16.8","MIT","https://github.com/babel/babel"
"@babel/runtime@7.16.7","MIT","https://github.com/babel/babel"
"@babel/template@7.16.7","MIT","https://github.com/babel/babel"
"@babel/traverse@7.16.8","MIT","https://github.com/babel/babel"
"@babel/types@7.16.8","MIT","https://github.com/babel/babel"
"@emotion/is-prop-valid@0.8.8","MIT","https://github.com/emotion-js/emotion/tree/master/packages/is-prop-valid"
"@emotion/memoize@0.7.4","MIT","https://github.com/emotion-js/emotion/tree/master/packages/memoize"
"@emotion/stylis@0.8.5","MIT","https://github.com/emotion-js/emotion/tree/master/packages/stylis"
"@emotion/unitless@0.7.5","MIT","https://github.com/emotion-js/emotion/tree/master/packages/unitless"
"@redux-saga/core@1.1.3","MIT","https://github.com/redux-saga/redux-saga/tree/master/packages/core"
"@redux-saga/deferred@1.1.2","MIT","https://github.com/redux-saga/redux-saga/tree/master/packages/deferred"
"@redux-saga/delay-p@1.1.2","MIT","https://github.com/redux-saga/redux-saga/tree/master/packages/delay-p"
"@redux-saga/is@1.1.2","MIT","https://github.com/redux-saga/redux-saga/tree/master/packages/is"
"@redux-saga/symbols@1.1.2","MIT","https://github.com/redux-saga/redux-saga/tree/master/packages/symbols"
"@redux-saga/types@1.1.0","MIT","https://github.com/redux-saga/redux-saga/tree/master/packages/types"
"@types/hoist-non-react-statics@3.3.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/prop-types@15.7.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-redux@7.1.22","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react@17.0.38","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/scheduler@0.16.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"ansi-styles@3.2.1","MIT","https://github.com/chalk/ansi-styles"
"asynckit@0.4.0","MIT","https://github.com/alexindigo/asynckit"
"auth0-js@9.18.1","MIT","https://github.com/auth0/auth0.js"
"auth0-lock@11.30.6","MIT","https://github.com/auth0/lock"
"auth0-password-policies@1.0.2","MIT","https://github.com/auth0/auth0-password-policies"
"available-typed-arrays@1.0.5","MIT","https://github.com/inspect-js/available-typed-arrays"
"axios@0.24.0","MIT","https://github.com/axios/axios"
"babel-plugin-styled-components@1.13.3","MIT","https://github.com/styled-components/babel-plugin-styled-components"
"babel-plugin-syntax-jsx@6.18.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-jsx"
"base64-js@1.5.1","MIT","https://github.com/beatgammit/base64-js"
"blueimp-md5@2.19.0","MIT","https://github.com/blueimp/JavaScript-MD5"
"call-bind@1.0.2","MIT","https://github.com/ljharb/call-bind"
"camelize@1.0.0","MIT","https://github.com/substack/camelize"
