"module name","license","repository"
"@babel/runtime-corejs3@7.16.8","MIT","https://github.com/babel/babel"
"@babel/runtime@7.16.7","MIT","https://github.com/babel/babel"
"@redux-saga/core@1.1.3","MIT","https://github.com/redux-saga/redux-saga/tree/master/packages/core"
"@redux-saga/deferred@1.1.2","MIT","https://github.com/redux-saga/redux-saga/tree/master/packages/deferred"
"@redux-saga/delay-p@1.1.2","MIT","https://github.com/redux-saga/redux-saga/tree/master/packages/delay-p"
"@redux-saga/is@1.1.2","MIT","https://github.com/redux-saga/redux-saga/tree/master/packages/is"
"@redux-saga/symbols@1.1.2","MIT","https://github.com/redux-saga/redux-saga/tree/master/packages/symbols"
"@redux-saga/types@1.1.0","MIT","https://github.com/redux-saga/redux-saga/tree/master/packages/types"
"axios@0.24.0","MIT","https://github.com/axios/axios"
"call-bind@1.0.2","MIT","https://github.com/ljharb/call-bind"
"core-js-pure@3.20.3","MIT","https://github.com/zloirock/core-js"
"follow-redirects@1.14.7","MIT","https://github.com/follow-redirects/follow-redirects"
"function-bind@1.1.1","MIT","https://github.com/Raynos/function-bind"
"get-intrinsic@1.1.1","MIT","https://github.com/ljharb/get-intrinsic"
"has-symbols@1.0.2","MIT","https://github.com/inspect-js/has-symbols"
"has@1.0.3","MIT","https://github.com/tarruda/has"
"immutable@4.0.0-rc.10","MIT","https://github.com/facebook/immutable-js"
"lattice-sagas@0.71.0","Apache-2.0","https://github.com/openlattice/lattice-sagas"
"lattice@0.97.0","Apache-2.0","https://github.com/openlattice/lattice-js"
"lodash@4.17.21","MIT","https://github.com/lodash/lodash"
"loglevel@1.8.0","MIT","https://github.com/pimterry/loglevel"
"object-inspect@1.12.0","MIT","https://github.com/inspect-js/object-inspect"
"qs@6.10.3","BSD-3-Clause","https://github.com/ljharb/qs"
"redux-reqseq@0.7.0","Apache-2.0","https://github.com/openlattice/redux-reqseq"
"redux@4.1.2","MIT","https://github.com/reduxjs/redux"
"regenerator-runtime@0.13.9","MIT","https://github.com/facebook/regenerator/tree/master/packages/runtime"
"side-channel@1.0.4","MIT","https://github.com/ljharb/side-channel"
"typescript-compare@0.0.2","MIT","https://github.com/ksxnodemodules/typescript-compare"
"typescript-logic@0.0.0","MIT","https://github.com/ksxnodemodules/typescript-logic"
"typescript-tuple@2.2.1","MIT","https://github.com/ksxnodemodules/typescript-tuple"
"validator@13.7.0","MIT","https://github.com/validatorjs/validator.js"
