"module name","license","repository"
"@babel/runtime-corejs3@7.16.8","MIT","https://github.com/babel/babel"
"@babel/runtime@7.16.7","MIT","https://github.com/babel/babel"
"@types/hoist-non-react-statics@3.3.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/prop-types@15.7.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-redux@7.1.22","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react@17.0.38","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/scheduler@0.16.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"axios@0.24.0","MIT","https://github.com/axios/axios"
"call-bind@1.0.2","MIT","https://github.com/ljharb/call-bind"
"core-js-pure@3.20.3","MIT","https://github.com/zloirock/core-js"
"csstype@3.0.10","MIT","https://github.com/frenic/csstype"
"follow-redirects@1.14.7","MIT","https://github.com/follow-redirects/follow-redirects"
"function-bind@1.1.1","MIT","https://github.com/Raynos/function-bind"
"get-intrinsic@1.1.1","MIT","https://github.com/ljharb/get-intrinsic"
"has-symbols@1.0.2","MIT","https://github.com/inspect-js/has-symbols"
"has@1.0.3","MIT","https://github.com/tarruda/has"
"hoist-non-react-statics@3.3.2","BSD-3-Clause","https://github.com/mridgway/hoist-non-react-statics"
"immutable@4.0.0-rc.10","MIT","https://github.com/facebook/immutable-js"
"js-tokens@4.0.0","MIT","https://github.com/lydell/js-tokens"
"lattice-utils@0.13.0","Apache-2.0","https://github.com/openlattice/lattice-utils"
"lattice@0.97.0","Apache-2.0","https://github.com/openlattice/lattice-js"
"lodash@4.17.21","MIT","https://github.com/lodash/lodash"
"loglevel@1.8.0","MIT","https://github.com/pimterry/loglevel"
"loose-envify@1.4.0","MIT","https://github.com/zertosh/loose-envify"
"luxon@1.28.0","MIT","https://github.com/moment/luxon"
"object-assign@4.1.1","MIT","https://github.com/sindresorhus/object-assign"
"object-inspect@1.12.0","MIT","https://github.com/inspect-js/object-inspect"
"prop-types@15.8.1","MIT","https://github.com/facebook/prop-types"
"qs@6.10.3","BSD-3-Clause","https://github.com/ljharb/qs"
"react-dom@16.14.0","MIT","https://github.com/facebook/react"
"react-is@16.13.1","MIT","https://github.com/facebook/react"
"react-redux@7.2.6","MIT","https://github.com/reduxjs/react-redux"
"react@16.14.0","MIT","https://github.com/facebook/react"
"redux-reqseq@0.7.0","Apache-2.0","https://github.com/openlattice/redux-reqseq"
"redux@4.1.2","MIT","https://github.com/reduxjs/redux"
"regenerator-runtime@0.13.9","MIT","https://github.com/facebook/regenerator/tree/master/packages/runtime"
"scheduler@0.19.1","MIT","https://github.com/facebook/react"
"side-channel@1.0.4","MIT","https://github.com/ljharb/side-channel"
"validator@13.7.0","MIT","https://github.com/validatorjs/validator.js"
